ADC,Channel,VBR,VBR_Error
4,10,6.92375e-310,6.95269e-310
4,11,6.92375e-310,6.95269e-310
4,12,52.3476,0.000343903
4,13,6.92375e-310,6.95269e-310
4,14,52.4923,9.52598e-05
4,15,52.4424,0.000124981
4,20,6.92375e-310,6.95269e-310
4,21,52.4865,4.91355e-05
4,22,6.92375e-310,6.95269e-310
4,23,52.4667,0.000104024
4,24,6.92375e-310,6.95269e-310
4,25,52.6432,0.00166795
4,26,6.92375e-310,6.95269e-310
4,27,6.92375e-310,6.95269e-310
4,28,6.92375e-310,6.95269e-310
4,29,6.92375e-310,6.95269e-310
4,30,6.92375e-310,6.95269e-310
4,31,6.92375e-310,6.95269e-310
4,36,6.92375e-310,6.95269e-310
4,37,52.0948,0.000463179
4,38,6.92375e-310,6.95269e-310
4,39,6.92375e-310,6.95269e-310
4,40,6.92375e-310,6.95269e-310
4,41,6.92375e-310,6.95269e-310
4,42,52.3435,0.00453121
4,43,52.4871,2.92994e-05
4,44,52.4924,2.35298e-05
4,45,6.92375e-310,6.95269e-310
4,46,6.92375e-310,6.95269e-310
4,47,6.92375e-310,6.95269e-310
4,52,6.92375e-310,6.95269e-310
4,53,6.92375e-310,6.95269e-310
4,54,6.92375e-310,6.95269e-310
4,55,6.92375e-310,6.95269e-310
4,56,6.92375e-310,6.95269e-310
4,57,6.92375e-310,6.95269e-310
4,58,6.92375e-310,6.95269e-310
4,59,6.92375e-310,6.95269e-310
4,60,6.92375e-310,6.95269e-310
4,61,6.92375e-310,6.95269e-310
4,62,6.92375e-310,6.95269e-310
4,63,52.4963,1.47301e-05
5,4,6.92375e-310,6.95269e-310
5,5,6.92375e-310,6.95269e-310
5,6,6.92375e-310,6.95269e-310
5,7,6.92375e-310,6.95269e-310
5,8,6.92375e-310,6.95269e-310
5,9,6.92375e-310,6.95269e-310
5,10,6.92375e-310,6.95269e-310
5,11,52.4959,1.56438e-05
5,12,6.92375e-310,6.95269e-310
5,13,6.92375e-310,6.95269e-310
5,14,6.92375e-310,6.95269e-310
5,15,6.92375e-310,6.95269e-310
5,20,6.92375e-310,6.95269e-310
5,21,52.4871,3.05161e-05
5,22,6.92375e-310,6.95269e-310
5,23,6.92375e-310,6.95269e-310
5,24,6.92375e-310,6.95269e-310
5,25,6.92375e-310,6.95269e-310
5,26,6.92375e-310,6.95269e-310
5,27,52.5846,0.000284218
5,28,6.92375e-310,6.95269e-310
5,29,52.4968,1.22687e-05
5,30,6.92375e-310,6.95269e-310
5,31,6.92375e-310,6.95269e-310
5,36,6.92375e-310,6.95269e-310
5,37,6.92375e-310,6.95269e-310
5,38,6.92375e-310,6.95269e-310
5,39,6.92375e-310,6.95269e-310
5,40,6.92375e-310,6.95269e-310
5,41,6.92375e-310,6.95269e-310
5,42,6.92375e-310,6.95269e-310
5,43,53.5731,0.0149562
5,44,6.92375e-310,6.95269e-310
5,45,6.92375e-310,6.95269e-310
5,46,6.92375e-310,6.95269e-310
5,47,6.92375e-310,6.95269e-310
5,52,52.0714,0.000565075
5,53,6.92375e-310,6.95269e-310
5,54,6.92375e-310,6.95269e-310
5,55,6.92375e-310,6.95269e-310
5,56,6.92375e-310,6.95269e-310
5,57,6.92375e-310,6.95269e-310
5,58,6.92375e-310,6.95269e-310
5,59,6.92375e-310,6.95269e-310
5,60,6.92375e-310,6.95269e-310
5,61,6.92375e-310,6.95269e-310
5,62,6.92375e-310,6.95269e-310
5,63,6.92375e-310,6.95269e-310
6,4,6.92375e-310,6.95269e-310
6,5,6.92375e-310,6.95269e-310
6,6,6.92375e-310,6.95269e-310
6,7,6.92375e-310,6.95269e-310
6,8,6.92375e-310,6.95269e-310
6,9,6.92375e-310,6.95269e-310
6,10,6.92375e-310,6.95269e-310
6,11,6.92375e-310,6.95269e-310
6,12,6.92375e-310,6.95269e-310
6,13,52.4972,1.62666e-05
6,14,52.5397,0.000411357
6,15,6.92375e-310,6.95269e-310
6,20,57.2804,0.0490731
6,21,6.92375e-310,6.95269e-310
6,22,52.2781,0.00338773
6,23,52.7003,0.00133288
6,24,6.92375e-310,6.95269e-310
6,25,52.4925,2.70319e-05
6,26,6.92375e-310,6.95269e-310
6,27,6.92375e-310,6.95269e-310
6,28,52.5874,0.000339234
6,29,6.92375e-310,6.95269e-310
6,30,6.92375e-310,6.95269e-310
6,31,6.92375e-310,6.95269e-310
6,36,6.92375e-310,6.95269e-310
6,37,6.92375e-310,6.95269e-310
6,38,6.92375e-310,6.95269e-310
6,39,6.92375e-310,6.95269e-310
6,40,52.5644,0.000434464
6,41,52.5876,0.000425896
6,42,52.4921,3.17334e-05
6,43,52.5273,0.000463512
6,44,6.92375e-310,6.95269e-310
6,45,6.92375e-310,6.95269e-310
6,46,171.631,100.107
6,47,90.2797,0.00372978
6,52,52.5413,0.00038345
6,53,52.5083,0.00040679
6,54,52.5184,0.00057072
